;;;;;;;;;;;
ROTEIRO DE HOMOLOGAÇÃO SAJ5 - SAJMP | SAJADM | SAJWEB;;;;;HOJE:;23/07/2026;;FUNCIONANDO;318;17%;
;;;;;DATA INICIO:;;;ITENS DESABILITADOS;302;16%;
;;;;;DATA FIM:;;;FUNCIONA COM RESSALVAS;1;0%;
;;;;;VERSÃO:;;;ERROS IMPEDITIVOS;0;0%;
;;;;;CLIENTE:;;;ITENS HOMOLOGADOS;621;33%;
;;;;;TOTAL ITENS:;1909;;ITENS RESTANTES;1288;;
PORTAL WEB:;;;;;;;;;;;
;;;;;;;;;;;
ID;SISTEMA;MÓDULO;TELA/FUNCIONALIDADE;CENÁRIO;REQUISITOS;RESPONSÁVEL;STATUS;CHAMADO;STATUS CHAMADO;OBSERVAÇÃO;SUBSÍDIO
1;SAJMP;Tela de autenticação;Acesso ao sistema;Testar a possibilidade de login para os usuários;;FABRICIO;FUNCIONA;;;;
2;SAJMP;Tela de autenticação;Carregar tela de login;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
3;SAJMP;Tela de autenticação;Informar usuário corretamente;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
4;SAJMP;Tela de autenticação;Fechar e abrir novamente;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
5;SAJMP;Tela de autenticação;Autenticar corretamente;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
6;SAJMP;Tela de autenticação;Acessar;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
7;SAJMP;Tela de autenticação;Cancelar;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
8;SAJMP;Tela de autenticação;Pressionar a tecla TAB;Pressionar a tecla TAB para percorrer todos os campos na ordem;;FABRICIO;FUNCIONA;;;;
9;SAJMP;Tela de autenticação;Selecionar lotação diferente da padrão;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
10;SAJMP;Tela de autenticação;ESC;Pressionar a tecla ESC e verificar se a tela é encerrada sem erros;;FABRICIO;FUNCIONA;;;;
11;SAJMP;Tela de autenticação;Tela de atualização do sistema SAJ;Verificar se a tela de progresso da atualização é exibida e atualizada;;FABRICIO;FUNCIONA;;;;
12;SAJMP;Tela de autenticação;Testar o texto inicial de apresentação do SAJ;Verificar se na tela de login o texto está coerente com o ;parâmetro 51673;FABRICIO;FUNCIONA;;;;
13;SAJMP;Barra de acesso rápido por atalho;Carga e Importação de Processos;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
14;SAJMP;Barra de acesso rápido por atalho;Fluxo de trabalho;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
15;SAJMP;Barra de acesso rápido por atalho;Gerenciador de arquivos;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
16;SAJMP;Barra de acesso rápido por atalho;Consulta avançada de processos;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
17;SAJMP;Barra de acesso rápido por atalho;Agenda de compromissos;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
18;SAJMP;Barra de acesso rápido por atalho;Pesquisa rápida de funcionalidade;Testar a funcionalidade e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
19;SAJMP;Barra de acesso rápido por atalho;Alternar lotação;Testar a funcionalidade e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
20;SAJMP;Barra de acesso rápido por atalho;Identificar usuário;Testar a funcionalidade e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
21;SAJMP;Painel inicial;Dashboard;Verificar se os dados estão sendo carregados;;FABRICIO;FUNCIONA;;;;
22;SAJMP;Painel inicial;Acompanhamento;Verificar se os dados estão sendo carregados;;FABRICIO;FUNCIONA;;;;
23;SAJMP;Painel inicial;Pendências;Verificar se os dados estão sendo carregados;;FABRICIO;FUNCIONA;;;;
24;SAJMP;Painel inicial;Peticionamento;Verificar se os dados estão sendo carregados;;FABRICIO;FUNCIONA;;;;
25;SAJMP;Painel inicial;Compromissos;Verificar se os dados estão sendo carregados;;FABRICIO;FUNCIONA;;;;
26;SAJMP;Painel inicial;Documentos recentes;Verificar se os dados estão sendo carregados;;FABRICIO;FUNCIONA;;;;
27;SAJMP;Painel inicial;Compartilhamento;Verificar se os dados estão sendo carregados;;FABRICIO;FUNCIONA;;;;
28;SAJMP;Painel inicial;Links e dicas;Verificar se os dados estão sendo carregados;;FABRICIO;FUNCIONA;;;;
29;SAJMP;Painel inicial;Links;Verificar se os links estão funcionais;;FABRICIO;FUNCIONA;;;;
30;SAJMP;Menu cadastro;Alternar lotação;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
31;SAJMP;Menu cadastro;Identificar usuário;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
32;SAJMP;Menu cadastro;Sair;Testar o atalho e analisar o comportamento;;FABRICIO;FUNCIONA;;;;
33;CADASTRO;Protocolo unificado;Cadastrar;Registrar um protocolo;;FABRICIO;FUNCIONA;;;;
34;CADASTRO;Protocolo unificado;Cadastrar pessoa;Registrar uma pessoa;;FABRICIO;FUNCIONA;;;;
35;CADASTRO;Protocolo unificado;Abrir cadastro;Abrir cadastro;;FABRICIO;FUNCIONA;;;;
36;CADASTRO;Protocolo unificado;Abrir pasta digital;Abrir pasta digital;;FABRICIO;FUNCIONA;;;;
37;CADASTRO;Protocolo unificado;Emitir documento;Emitir documento;;FABRICIO;FUNCIONA;;;;
38;CADASTRO;Protocolo unificado;Consulta básica;Consultar cadastro;;FABRICIO;FUNCIONA;;;;
39;CADASTRO;Protocolo unificado;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;FABRICIO;FUNCIONA;;;;
40;CADASTRO;Protocolo unificado;Redistribuir;Redistribuir;;FABRICIO;FUNCIONA;;;;
41;CADASTRO;Protocolo unificado;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;FABRICIO;FUNCIONA;;;;
42;CADASTRO;Protocolo unificado;Emitir recibo;Emitir recibo;;FABRICIO;FUNCIONA;;;;
43;CADASTRO;Protocolo unificado;Evoluir;Evoluir;;FABRICIO;FUNCIONA;;;;
44;CADASTRO;Protocolo unificado;Verificar o nível de sigilo após evolução;Verificar se o nível de sigilo foi mantido na evolução;;FABRICIO;FUNCIONA;;;;
45;CADASTRO;Protocolo unificado;Evoluir através de atividade;Evoluir através da atividade na fila de trabalho;;FABRICIO;FUNCIONA;;;;
46;CADASTRO;Protocolo unificado;Agenda;Abrir agenda;;FABRICIO;FUNCIONA;;;;
